Namespace(model_path='../../checkpoints/resnet18_cifar10_200.pt', no_cuda=False, target_num=20, test_batch_size=50)
target count: 20
Files already downloaded and verified
======Load Model======
======Make Targets======
======Start Attack======
=======Attacking Target 0=======
Trying: 6 ------> some others
theta_m tensor(-7.1665, device='cuda:0') tensor(3.9930, device='cuda:0')
theta_p tensor(-4.4273, device='cuda:0') tensor(4.5398, device='cuda:0')
=========Processing epoch 0=========
step:   1, lambda: 0.00000, attack: 0.950, cls: 20.510497, reg: 507.344713, reg_best: 507.344713
         [3.8743e-07, 2.9802e-07, 1.4305e-06,  ..., 1.4901e-07,
          1.1921e-07, 1.1623e-06],
         [8.9407e-08, 5.6624e-07, 4.0531e-06,  ..., 8.0466e-07,
          2.6822e-07, 8.9407e-08],
         [4.7684e-07, 2.0474e-05, 4.4703e-07,  ..., 2.4736e-06,
          1.5497e-06, 8.3447e-07]]], device='cuda:0', grad_fn=<AddBackward0>)
Current l0 norm: 1009
Current l1 norm: 5.445801258087158
Current l2 norm: 2.2241768836975098
Current l_inf norm: 0.9856499433517456
mask: (32, 32) 0.0 0.98564994
pattern: (32, 32, 3) 0.0 1.0
=======Attacking Target 1=======
Trying: 7 ------> some others
theta_m tensor(-4.5798, device='cuda:0') tensor(3.1240, device='cuda:0')
theta_p tensor(-4.2934, device='cuda:0') tensor(3.5502, device='cuda:0')
=========Processing epoch 0=========
step:   1, lambda: 0.00000, attack: 1.000, cls: 22.494513, reg: 512.821144, reg_best: 512.821144
initialize lambda to 0.00100
step:   2, lambda: 0.00100, attack: 1.000, cls: 27.684680, reg: 515.140686, reg_best: 512.821144
step:   3, lambda: 0.00100, attack: 1.000, cls: 29.715080, reg: 515.010934, reg_best: 512.821144
step:   4, lambda: 0.00100, attack: 1.000, cls: 31.453820, reg: 519.188638, reg_best: 512.821144
step:   5, lambda: 0.00100, attack: 1.000, cls: 32.613343, reg: 521.364981, reg_best: 512.821144
step:   6, lambda: 0.00100, attack: 1.000, cls: 33.476783, reg: 524.208743, reg_best: 512.821144
